area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,total_sqft_clean,price_per_sqft,crime_rate,entertainment_centers,restaurant_count,crime_score,entertainment_score,restaurant_score,distance_to_center,proximity_score,room_density,popularity_score,volatility_score
Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,Coomee ,1056,2.0,1.0,39.07,2.0,1056.0,3699.810606060606,9.182732606859632,2,6,0.8171874541387635,2.2222222222222223,1.2244897959183674,9.905124481433225,2.3607591902524674,264.0,2.4535315985130115,36.344816018236926
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2600,5.0,3.0,120.0,4.0,2600.0,4615.384615384615,3.751667423627671,5,30,6.248299916753343,5.555555555555555,6.122448979591837,2.674899739877527,7.937006920694576,288.8888888888889,0.3159851301115241,20.0049503432349
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1440,2.0,3.0,62.0,3.0,1440.0,4305.555555555556,7.105268443557787,8,40,2.8946697025159556,8.88888888888889,8.16326530612245,3.9673726639594435,6.940198457999553,288.0,3.4572490706319705,39.98928950609121
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1521,3.0,1.0,95.0,3.0,1521.0,6245.890861275477,9.309585506037912,9,23,0.6903334506602121,10.0,4.6938775510204085,5.397025953714566,5.8375908355149475,253.5,0.4275092936802974,22.365060748687675
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1200,2.0,1.0,51.0,2.0,1200.0,4250.0,8.326025481610758,9,48,1.6739020373323688,10.0,9.795918367346939,5.397025953714566,5.8375908355149475,300.0,1.2267657992565058,73.3539091710591
Super built-up  Area,Ready To Move,Whitefield,2 BHK,DuenaTa,1170,2.0,1.0,38.0,2.0,1170.0,3247.863247863248,2.139190291109972,3,37,7.860791086466461,3.333333333333333,7.551020408163264,1.8365025034994318,8.58361347217452,292.5,10.0,140.5804683445764
Super built-up  Area,18-May,Old Airport Road,4 BHK,Jaades ,2732,4.0,0.0,204.0,4.0,2732.0,7467.0571010248905,8.862691741658033,6,41,1.137231105411605,6.666666666666666,8.36734693877551,11.43300628590238,1.1823936830799007,341.5,0.6133828996282529,114.53644475899495
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,Brway G,3300,4.0,0.0,600.0,4.0,3300.0,18181.81818181818,8.22343635054295,2,27,1.7764920614755888,2.2222222222222223,5.5102040816326525,12.966111067993126,0.0,412.5,1.9888475836431228,316.80699925685724
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1310,3.0,1.0,63.25,3.0,1310.0,4828.244274809161,7.775244929476288,3,44,2.224687384210335,3.333333333333333,8.979591836734693,1.8365025034994318,8.58361347217452,218.33333333333334,3.2527881040892193,72.43357269502987
Plot  Area,Ready To Move,Gandhi Bazar,6 Bedroom,,1020,6.0,0.0,370.0,6.0,1020.0,36274.509803921566,3.3101163448812985,9,35,6.689854839361221,10.0,7.142857142857143,9.905124481433225,2.3607591902524674,85.0,0.03717472118959107,183.84776310850236
Super built-up  Area,18-Feb,Whitefield,3 BHK,,1800,2.0,2.0,70.0,3.0,1800.0,3888.8888888888887,8.856569564888314,6,40,1.1433533354770817,6.666666666666666,8.16326530612245,1.8365025034994318,8.58361347217452,360.0,10.0,140.5804683445764
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Prrry M,2785,5.0,3.0,295.0,4.0,2785.0,10592.45960502693,7.544914876432341,3,29,2.4550194423605247,3.333333333333333,5.918367346938775,1.8365025034994318,8.58361347217452,309.44444444444446,10.0,140.5804683445764
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Shncyes,1000,2.0,1.0,38.0,2.0,1000.0,3800.0,7.319408565885784,9,17,2.680527716020906,10.0,3.4693877551020407,11.43300628590238,1.1823936830799007,250.0,2.7509293680297398,69.76670118360924
Built-up  Area,Ready To Move,Gottigere,2 BHK,,1100,2.0,2.0,40.0,2.0,1100.0,3636.3636363636365,5.6047367166547994,6,22,4.3952144920892025,6.666666666666666,4.489795918367347,1.8365025034994318,8.58361347217452,275.0,0.8921933085501859,27.443398054253127
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Skityer,2250,3.0,2.0,148.0,3.0,2250.0,6577.777777777777,3.422649321238281,6,33,6.577320883364064,6.666666666666666,6.73469387755102,9.905124481433225,2.3607591902524674,375.0,1.5055762081784387,104.43245645637349
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175,2.0,2.0,73.5,2.0,1175.0,6255.31914893617,8.247027901692636,8,39,1.7529003049529357,8.88888888888889,7.959183673469388,1.8365025034994318,8.58361347217452,293.75,0.9107806691449815,41.16012739871855
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1180,3.0,2.0,48.0,3.0,1180.0,4067.7966101694915,3.925671584262658,7,25,6.074294241349335,7.777777777777778,5.1020408163265305,9.905124481433225,2.3607591902524674,196.66666666666666,0.9479553903345725,10.71053320288939
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1540,3.0,3.0,60.0,3.0,1540.0,3896.103896103896,5.728882865482724,2,6,4.271067262524245,2.2222222222222223,1.2244897959183674,5.397025953714566,5.8375908355149475,256.6666666666667,3.1784386617100373,47.18023193443411
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,PeBayle,2770,4.0,2.0,290.0,3.0,2770.0,10469.314079422382,6.415111564791469,6,45,3.5848325893469966,6.666666666666666,9.183673469387756,9.905124481433225,2.3607591902524674,395.7142857142857,0.13011152416356878,879.0897619263972
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,,1100,2.0,2.0,48.0,2.0,1100.0,4363.636363636364,7.050103836445172,6,27,2.9498347898563857,6.666666666666666,5.5102040816326525,6.878873032442892,4.694729208803859,275.0,0.1486988847583643,64.2393682142923
Built-up  Area,Ready To Move,Kengeri,1 BHK,,600,1.0,1.0,15.0,1.0,600.0,2500.0,5.695123566370993,6,19,4.304826855522859,6.666666666666666,3.877551020408163,1.8365025034994318,8.58361347217452,300.0,1.3382899628252787,73.76840964664873
Super built-up  Area,19-Dec,Binny Pete,3 BHK,She 2rk,1755,3.0,1.0,122.0,3.0,1755.0,6951.5669515669515,5.610793782513296,9,11,4.389157373501761,10.0,2.2448979591836733,6.878873032442892,4.694729208803859,292.5,0.39033457249070636,70.34712606577675
Plot  Area,Ready To Move,Thanisandra,4 Bedroom,Soitya ,2800,5.0,2.0,380.0,4.0,2800.0,13571.42857142857,4.869121804581688,1,11,5.1308358079556236,1.1111111111111112,2.2448979591836733,2.674899739877527,7.937006920694576,311.1111111111111,4.386617100371748,42.75395401834816
Super built-up  Area,Ready To Move,Bellandur,3 BHK,,1767,3.0,1.0,103.0,3.0,1767.0,5829.088851160159,9.361290806760714,9,38,0.6386276998241063,10.0,7.755102040816326,2.0958835991646647,8.383568065880326,294.5,1.7843866171003717,66.37229229551592
Super built-up  Area,18-Nov,Thanisandra,1 RK,Bhe 2ko,510,1.0,0.0,25.25,1.0,510.0,4950.980392156863,3.7984551631482297,2,34,6.201511769928625,2.2222222222222223,6.938775510204081,2.674899739877527,7.937006920694576,255.0,4.386617100371748,42.75395401834816
Super built-up  Area,18-May,Mangammanapalya,3 BHK,,1250,3.0,2.0,56.0,3.0,1250.0,4480.0,6.056893746817523,9,45,3.9430535257363375,10.0,9.183673469387756,3.9673726639594435,6.940198457999553,208.33333333333334,0.055762081784386616,10.866615541802027
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660,1.0,1.0,23.1,2.0,660.0,3500.0,6.336710104462683,2,18,3.663234732188792,2.2222222222222223,3.673469387755102,2.0958835991646647,8.383568065880326,220.0,5.650557620817844,46.68988288633367
Built-up  Area,20-Dec,Whitefield,3 BHK,,1610,3.0,2.0,81.0,3.0,1610.0,5031.055900621118,7.625021261147642,8,6,2.374912360290233,8.88888888888889,1.2244897959183674,1.8365025034994318,8.58361347217452,268.3333333333333,10.0,140.5804683445764
Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,ViistLa,1151,2.0,2.0,48.77,2.0,1151.0,4237.185056472633,9.779619310347991,1,27,0.22029555453622066,1.1111111111111112,5.5102040816326525,2.674899739877527,7.937006920694576,287.75,0.9293680297397768,264.75944447196224
Super built-up  Area,Ready To Move,Electronic City,3 BHK,KBityo ,1025,2.0,1.0,47.0,3.0,1025.0,4585.365853658536,7.0637351655015035,1,18,2.936203342134415,1.1111111111111112,3.673469387755102,2.0958835991646647,8.383568065880326,205.0,5.650557620817844,46.68988288633367
Super built-up  Area,19-Dec,Yelahanka,4 BHK,LedorSa,2100 - 2850,4.0,0.0,186.0,4.0,2475.0,7515.151515151515,5.64513815496006,9,34,4.35481270207484,10.0,6.938775510204081,8.385304790667908,3.532906862592708,309.375,3.940520446096654,74.4198209277083
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,35.0,3.0,1075.0,3255.813953488372,3.248442236890071,1,28,6.751529484247819,1.1111111111111112,5.7142857142857135,9.905124481433225,2.3607591902524674,215.0,0.9479553903345725,10.71053320288939
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Mahosya,1760,2.0,2.0,123.0,3.0,1760.0,6988.636363636364,7.628395211141982,2,30,2.3715383809244397,2.2222222222222223,6.122448979591837,1.8365025034994318,8.58361347217452,352.0,3.2899628252788107,125.52607716272382
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693,3.0,3.0,57.39,3.0,1693.0,3389.84051978736,5.302310045322363,1,35,4.697643796154965,1.1111111111111112,7.142857142857143,5.397025953714566,5.8375908355149475,282.1666666666667,3.1784386617100373,47.18023193443411
Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,Kantsce,1925,3.0,0.0,125.0,3.0,1925.0,6493.506493506494,2.6641097110676517,3,48,7.3358670968957735,3.333333333333333,9.795918367346939,11.43300628590238,1.1823936830799007,320.8333333333333,0.2973977695167286,99.4616289078356
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2.0,1.0,36.0,2.0,700.0,5142.857142857143,9.499413747973222,9,24,0.5005035562015433,10.0,4.8979591836734695,3.9673726639594435,6.940198457999553,175.0,5.037174721189591,35.8270464960869
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,,1070,2.0,1.0,45.5,2.0,1070.0,4252.336448598131,6.794223570794286,6,47,3.205717283037337,6.666666666666666,9.591836734693878,5.397025953714566,5.8375908355149475,267.5,1.6356877323420074,22.229990643554917
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,1724,3.0,2.0,125.0,3.0,1724.0,7250.580046403712,9.818798572300054,4,49,0.18111595151454207,4.444444444444445,10.0,2.674899739877527,7.937006920694576,287.3333333333333,0.8736059479553904,115.94048319893845
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,,1290,2.0,2.0,56.12,3.0,1290.0,4350.387596899225,5.328013551474044,2,33,4.6719400662449875,2.2222222222222223,6.73469387755102,9.905124481433225,2.3607591902524674,258.0,0.5576208178438662,59.676649478573324
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1143,2.0,2.0,45.0,2.0,1143.0,3937.0078740157483,2.7191330202435315,6,46,7.28084330872213,6.666666666666666,9.387755102040817,3.9673726639594435,6.940198457999553,285.75,3.4572490706319705,39.98928950609121
Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,Gentson,1296,2.0,0.0,81.0,2.0,1296.0,6250.0,3.6496620289699857,5,33,6.350306199404805,5.555555555555555,6.73469387755102,8.385304790667908,3.532906862592708,324.0,0.26022304832713755,67.64240168337095
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Soini T,1254,3.0,2.0,38.0,3.0,1254.0,3030.3030303030305,5.523310314809576,3,42,4.476641602780643,3.333333333333333,8.571428571428571,1.8365025034994318,8.58361347217452,209.0,7.379182156133829,114.99938702430282
Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,Ceove G,600,1.0,0.0,38.0,1.0,600.0,6333.333333333333,7.165413142465477,2,28,2.8345244800269542,2.2222222222222223,5.7142857142857135,2.0958835991646647,8.383568065880326,300.0,0.1858736059479554,22.58342558406743
Plot  Area,Ready To Move,Yelahanka,1 Bedroom,,660,1.0,0.0,48.0,1.0,660.0,7272.727272727273,9.226652758628358,9,23,0.773266920029265,10.0,4.6938775510204085,8.385304790667908,3.532906862592708,330.0,3.940520446096654,74.4198209277083
Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,Soazak ,1330.74,2.0,2.0,91.79,2.0,1330.74,6897.665960292769,5.224423222040598,4,34,4.775531297469638,4.444444444444445,6.938775510204081,3.9673726639594435,6.940198457999553,332.685,5.037174721189591,35.8270464960869
Plot  Area,Ready To Move,HSR Layout,8 Bedroom,,600,9.0,0.0,200.0,8.0,600.0,33333.333333333336,3.295453666998381,8,10,6.704517644888042,8.88888888888889,2.0408163265306123,5.397025953714566,5.8375908355149475,35.294117647058826,0.9851301115241635,86.17440630423158
